ENSG00000176714,0.4699,0.5195,0.396,0.2015,0.3262,0.3273,0.033593325
ENSG00000229951,0.2982,0.3389,0.2436,0.155,0.2315,0.1766,0.043516398
ENSG00000172954,1.753,1.984,1.844,1.323,1.505,1.376,0.006791175
ENSG00000158125,5.167,4.457,4.664,7.203,8.02,7.997,0.001216004
ENSG00000188010,20.91,23.65,19.17,13.51,15.14,17.08,0.024654498
ENSG00000223658,0.2045,0.2697,0.2171,0.1726,0.1147,0.09838,0.028273453
ENSG00000243244,0.708,0.6615,0.6244,0.2483,0.3775,0.2681,0.003140568
ENSG00000115239,3.49,3.613,4.125,2.52,3.249,2.889,0.040662301
ENSG00000170634,0.5961,0.7144,0.7367,0.455,0.4306,0.5484,0.023835405
ENSG00000115306,58.98,56,56.01,62.96,60.58,61.54,0.02195737
ENSG00000085760,13.15,12.4,13.47,10.2,11.44,10.98,0.011837914
ENSG00000212978,3.426,2.914,2.824,1.9,2.409,2.559,0.049215471
ENSG00000115902,6.476,6.717,6.256,5.772,5.797,5.301,0.015833381
ENSG00000236780,0,0.03286,0,0.0701,0.06983,0.0719,0.031714191
ENSG00000163219,0.9733,0.9855,1.192,1.407,1.372,1.554,0.013523796
ENSG00000288869,0.09043,0.1432,0.1067,0.03393,0.0338,0.05221,0.029364615
ENSG00000244617,0.2703,0.1268,0.2338,0.1014,0,0.03468,0.04056329
ENSG00000163235,19.9,17.33,17.98,21.32,23.22,25.01,0.025886606
ENSG00000124374,0.9327,0.8044,0.7951,0.6436,0.5849,0.6524,0.023734809
ENSG00000144036,12.16,12.54,13.28,10.59,11.36,11.17,0.019480607
ENSG00000284308,0.5802,0.8907,0.7094,0.3563,0.3253,0.4162,0.047407734
ENSG00000115275,17.7,19.45,18.73,24.57,21.97,21.38,0.035795432
ENSG00000115318,0.5224,0.4438,0.4149,0.6455,0.5859,0.6523,0.01659025
ENSG00000159399,14.89,15.63,17.74,20.36,19.1,19.93,0.033684771
ENSG00000186854,0.1073,0.1617,0.1518,0.2587,0.2749,0.3008,0.003597914
ENSG00000115525,1.043,1.028,1.228,1.354,1.485,1.626,0.019998184
ENSG00000249884,32.16,30.28,34.04,25.68,28.15,28.73,0.032720418
ENSG00000115561,34.55,32.98,36.92,27.58,30,30.97,0.026153262
ENSG00000135956,13.55,13.64,13.38,12.17,12.65,12.83,0.026395889
ENSG00000114988,10.73,9.915,11.2,7.637,9.215,9.243,0.047906609
ENSG00000075568,15.16,14.49,15.17,11.8,11.96,12.04,0.002971851
ENSG00000228528,0.05375,0.08508,0.07609,0.03025,0.03014,0.01034,0.016882003
ENSG00000115641,9.115,7.455,8.466,6.418,6.925,6.287,0.04962714
ENSG00000214184,0.9193,0.9701,0.8947,1.164,1.16,1.283,0.008548396
ENSG00000144063,12.81,13.35,12.69,15.44,14.15,15.88,0.037316381
ENSG00000188177,0.7421,0.8848,0.7779,0.5102,0.5336,0.6956,0.041926598
ENSG00000115008,32.12,30.87,47.38,70.59,75.45,78.73,0.009222641
ENSG00000125538,113.1,96.8,97.98,212.5,205.4,203.2,0.000360773
ENSG00000136688,3.131,3.931,3.019,19.87,22.77,21.8,0.000880448
ENSG00000136695,1.639,1.501,1.502,1.791,1.784,1.977,0.021116085
ENSG00000189223,1.754,1.777,1.572,1.848,2.015,2.004,0.040862799
ENSG00000019169,0.6655,0.4014,0.3814,0.8919,0.9596,0.7929,0.030270008
ENSG00000115112,9.218,9.06,8.897,5.458,5.574,5.823,2.0733245194478344e-05
ENSG00000236859,4.388,4.528,4.427,4.012,3.752,4.078,0.024084549
ENSG00000136732,0.1979,0.1193,0.1601,0.03182,0.0951,0.07616,0.037792577
ENSG00000186684,1.285,1.369,1.435,1.602,1.497,1.595,0.023784891
ENSG00000115718,0.05748,0.06066,0.04069,0,0.03223,0.02212,0.045723551
ENSG00000163166,29.44,28.12,31.03,31.47,33.54,33.16,0.042649217
ENSG00000186825,0.3948,0.5208,0.4191,0.2777,0.2767,0.3609,0.047794991
ENSG00000290618,0.3948,0.5208,0.4191,0.2777,0.2767,0.3609,0.047794991
ENSG00000176771,0.9025,0.8181,0.888,0.586,0.6929,0.6933,0.010766253
ENSG00000115919,1.744,1.699,2.619,3.644,3.809,3.294,0.01923855
ENSG00000121989,1.257,1.288,1.395,1.034,1.057,1.103,0.014002287
ENSG00000136542,40.23,39.24,43.42,31.99,35.68,35.38,0.018849254
ENSG00000115170,3.886,3.876,3.963,2.752,3.046,3.146,0.012433147
ENSG00000115267,3.341,3.815,3.761,5.57,5.917,5.657,0.000625222
ENSG00000236107,0.6808,0.5987,0.783,0.479,0.4453,0.4258,0.03810149
ENSG00000198648,4.131,4.447,4.516,3.725,3.631,3.835,0.018203241
ENSG00000227617,3.373,3.907,4.14,3.156,2.825,2.926,0.049610516
ENSG00000138398,21.33,22.48,23.28,19.18,20.91,19.82,0.03494936
ENSG00000213160,0.5314,0.5608,0.6417,0.4575,0.4908,0.4151,0.042997977
ENSG00000213160,0.5287,0.5579,0.6351,0.4509,0.5031,0.4132,0.047183134
ENSG00000071967,10.61,9.577,12.17,7.182,8.674,7.402,0.035507619
ENSG00000172845,4.674,4.532,5.311,3.337,4.14,3.624,0.027448806
ENSG00000163328,1.542,1.803,1.837,1.12,1.367,1.35,0.022549423
ENSG00000115966,6.118,5.575,5.847,5.097,5.047,5.363,0.029046921
ENSG00000155657,0.09283,0.1015,0.1065,0.08247,0.08528,0.08136,0.040694648
ENSG00000163510,12.93,13.96,13.92,10.92,12.4,10.71,0.030402609
ENSG00000115232,0.7242,0.6564,0.9106,0.5563,0.4108,0.5018,0.048275257
ENSG00000151687,0.2086,0.1761,0.1624,0.0822,0.09358,0.04417,0.005891993
ENSG00000064933,2.149,1.968,2.061,1.486,1.651,1.633,0.00314999
ENSG00000233654,0.1598,0.118,0.1018,0.01799,0.01792,0.0246,0.023851861
ENSG00000115415,15.27,16.55,17.69,21.19,23.96,23.85,0.005712593
ENSG00000128641,107.8,108.4,118.7,123,137,125.9,0.039094039
ENSG00000168497,8.97,8.179,8.835,7.76,6.17,6.881,0.044351675
ENSG00000081320,2.647,2.676,3.226,1.911,2.455,2.064,0.047935949
ENSG00000197121,0.7151,0.7433,0.8639,0.6113,0.615,0.5588,0.044485313
ENSG00000115896,0,0,0,0.009485,0.009449,0.009729,8.472480590553105e-05
ENSG00000196141,27.85,27.33,28.82,23.63,24.03,25.12,0.003893192
ENSG00000138380,0.6781,0.652,0.64,0.4495,0.49,0.3596,0.02141431
ENSG00000119004,0.762,0.7921,0.8292,0.6657,0.727,0.7267,0.035517938
ENSG00000114948,0.7836,0.7303,0.569,0.3437,0.4108,0.3486,0.027073768
ENSG00000163251,2.352,2.676,2.65,2.163,2.028,2.134,0.035419363
ENSG00000178385,0.8098,0.7445,0.7796,0.6604,0.6821,0.6387,0.009539471
ENSG00000138413,53.13,49.75,55.85,43.8,47.06,46.48,0.035813526
ENSG00000127824,153,129.2,145.3,188.9,170.2,197,0.015974634
ENSG00000116106,1.962,1.602,1.912,0.9543,1.127,0.9979,0.009197671
ENSG00000163082,2.978,3.651,3.359,5.509,6.693,4.98,0.02927671
ENSG00000115009,4.469,6.453,5.938,53.75,47.3,43.85,0.003420982
ENSG00000067066,8.878,9.017,9.139,9.965,10.52,10.54,0.010769239
ENSG00000182600,0.5171,0.5798,0.488,0.2547,0.3745,0.4105,0.040311927
ENSG00000168918,31.24,29.57,30.84,28.63,26.85,25.79,0.032197758
ENSG00000123485,3.383,3.159,3.468,2.77,2.414,2.991,0.047399418
ENSG00000115648,1.609,1.739,1.619,1.178,1.348,0.955,0.036411307
ENSG00000130294,0,0,0,0.01579,0.007863,0.01349,0.034315608
ENSG00000146205,1.196,1.149,1.165,1.559,1.381,1.622,0.035831191
ENSG00000113851,3.324,3.632,3.834,3.001,2.857,3.072,0.037208335
ENSG00000150995,1.065,1.017,1.153,0.749,0.9371,0.8236,0.027076495
ENSG00000134107,129.1,133.2,130.5,143.5,144.8,146.3,0.001224542
ENSG00000196220,2.332,2.47,2.305,1.902,1.683,1.939,0.008132898
ENSG00000134070,1.677,1.589,1.457,4.162,4.744,4.716,0.001850661
ENSG00000157014,6.132,5.451,5.887,6.59,7.292,6.525,0.038439797
ENSG00000144560,8.48,8.998,9.805,7.992,7.623,7.292,0.043540423
ENSG00000144711,2.716,2.732,2.568,2.273,2.452,2.401,0.01643315
ENSG00000163517,5.933,6.42,5.9,5.164,4.866,5.545,0.027005842
ENSG00000154764,7.311,7.9,9.393,12.02,9.767,11.34,0.035785921
ENSG00000154767,11.78,12.5,11.75,10.16,11.01,10.4,0.013506377
ENSG00000131378,4.317,4.282,4.906,6.031,6.007,6.453,0.003694366
ENSG00000131374,6.989,6.635,7.617,5.936,5.89,5.517,0.029449878
ENSG00000182568,2.672,2.931,3.072,2.378,2.256,2.388,0.030707444
ENSG00000163491,0.09838,0.08373,0.08312,0.03215,0.0605,0.03665,0.0184776
ENSG00000144642,0.741,0.7528,0.9216,0.5145,0.6291,0.6158,0.042951295
ENSG00000170266,41.38,40,39.34,34.62,36.53,36.23,0.00622976
ENSG00000170275,22.3,21.13,21.71,19.4,20.06,20.16,0.014264153
ENSG00000144677,11.78,11.46,13.26,8.277,9.263,9.704,0.013331983
ENSG00000206760,2.194,3.705,3.417,5.928,5.413,4.56,0.023803893
ENSG00000168032,8.912,8.705,8.665,10.27,10.72,10.53,0.000978077
ENSG00000114812,0.6443,0.7543,0.5985,0.2946,0.2935,0.4766,0.01753637
ENSG00000163814,33.76,31.34,32.96,40.51,41.39,41.47,0.002542941
ENSG00000163820,7.092,7.364,6.879,6.742,6.244,6.553,0.041403591
ENSG00000114648,6.74,5.809,6.063,7.414,7.149,8.151,0.028942572
ENSG00000185909,11.11,11.67,10.69,8.825,7.707,7.816,0.003096489
ENSG00000264633,5.855,6.179,3.454,2.197,2.189,1.127,0.045227364
ENSG00000164078,4.963,4.574,4.199,5.546,5.607,5.442,0.044091305
ENSG00000023330,16.01,13.95,14.3,17.6,17.83,18.93,0.01600421
ENSG00000010319,0.05172,0.04093,0.07321,0.02911,0.0145,0,0.033103656
ENSG00000136068,107.6,94.66,105,130.3,123.1,132.3,0.007642846
ENSG00000244161,9.292,9.211,7.701,13.66,10.64,12.1,0.038985675
ENSG00000163686,2.36,2.712,2.543,2.037,2.147,1.656,0.036476988
ENSG00000163689,1.424,1.411,1.53,1.174,1.303,1.221,0.014017645
ENSG00000163637,0.7395,0.7164,0.7034,0.6341,0.6122,0.566,0.014251197
ENSG00000163638,0.1675,0.1502,0.166,0.2357,0.2724,0.216,0.029832836
ENSG00000227124,1.415,1.464,1.505,1.093,1.234,0.9645,0.032335419
ENSG00000184500,6.133,6.303,6.373,3.954,4.159,3.514,0.002726856
ENSG00000178700,3.457,3.081,3.475,2.442,2.67,2.524,0.01192739
