ENSEMBL	ENTREZID
ENSG00000138185	953
ENSG00000095585	29760
ENSG00000165879	10023
ENSG00000171311	51013
ENSG00000166024	27291
ENSG00000155287	81894
ENSG00000099194	6319
ENSG00000077150	4791
ENSG00000166275	119032
ENSG00000148798	9118
ENSG00000107957	9644
ENSG00000065613	9748
ENSG00000148700	120
ENSG00000108055	9126
ENSG00000203867	282996
ENSG00000150593	27250
ENSG00000119927	57678
ENSG00000099204	3983
ENSG00000107560	22841
ENSG00000188613	340719
ENSG00000151929	9531
ENSG00000066468	2263
ENSG00000138162	10579
ENSG00000095574	64376
ENSG00000229544	390010
ENSG00000148773	4288
ENSG00000176769	256536
ENSG00000185201	10581
ENSG00000185885	8519
ENSG00000142089	10410
ENSG00000129757	1028
ENSG00000205531	4676
ENSG00000132109	6737
ENSG00000183378	341277
ENSG00000133805	272
ENSG00000247271	729013
ENSG00000050165	27122
ENSG00000133816	9645
ENSG00000186104	120227
ENSG00000110693	55553
ENSG00000179826	117195
ENSG00000255071	100528017
ENSG00000148965	6291
ENSG00000134339	6289
ENSG00000173432	6288
ENSG00000247595	100506540
ENSG00000129151	8424
ENSG00000135378	79056
ENSG00000121691	847
ENSG00000149090	25891
ENSG00000234776	143678
ENSG00000149179	79096
ENSG00000066336	6688
ENSG00000165916	5702
ENSG00000134802	29015
ENSG00000156587	9246
ENSG00000166801	63901
ENSG00000134827	6947
ENSG00000110108	79073
ENSG00000124942	79026
ENSG00000133321	5920
ENSG00000188070	65998
ENSG00000168439	10963
ENSG00000110047	10938
ENSG00000149798	10435
ENSG00000245532	283131
ENSG00000175592	8061
ENSG00000171067	53838
ENSG00000110075	55291
ENSG00000110090	1374
ENSG00000172927	26579
ENSG00000284922	220074
ENSG00000137478	9873
ENSG00000171631	5031
ENSG00000254837	100287896
ENSG00000077514	10714
ENSG00000118369	57558
ENSG00000182103	220382
ENSG00000137509	5547
ENSG00000165494	51585
ENSG00000074266	8726
ENSG00000150687	11098
ENSG00000109861	1075
